b_ramp_to_b
6
577.536743 -1748.178589 -80.621689 -6.820007 55.111317 0.000000
1212.273682 -1473.659180 72.664230 1.958010 -177.970612 0.000000 False
1252.857544 -336.664368 147.707733 4.025998 -107.530724 0.000000 False
1036.458740 -632.252075 84.461182 1.847993 -88.104889 0.000000 False
1383.935913 -640.051208 80.747467 -0.000015 -133.174728 0.000000 False
674.810425 -486.473267 189.358215 9.129949 -48.109180 0.000000 False
1383.968384 -859.968750 65.020920 -0.484054 -177.284500 0.000000 False
338.032166 -736.028381 250.031250 12.341921 -11.275086 0.000000 False
140.031906 -766.465088 217.031250 8.161889 -7.015365 0.000000 False
64.031250 -903.968567 217.906189 7.370007 4.063668 0.000000 False
739.912720 -482.027832 191.389175 10.757974 -81.182243 0.000000 False
-285.732300 -748.167358 179.031250 -0.836032 -5.484374 0.000000 False
52.734970 -397.884399 191.045166 2.969977 -65.148544 0.000000 False
475.968384 -298.711426 185.390640 2.617975 -121.050545 0.000000 False
26.031315 -563.968750 191.031250 6.115974 -13.778716 0.000000 False
519.967834 -563.968750 197.025223 2.023973 -177.723358 0.000000 False
581.023621 219.968964 159.683823 -1.848014 -103.231194 0.000000 False
363.924286 292.968292 163.635406 -2.200017 -83.570755 0.000000 False
601.967041 -36.031250 194.083435 5.279982 -125.679001 0.000000 False
320.036224 -183.968750 220.088257 22.879927 -10.486927 0.000000 False
1395.971191 518.923401 195.407791 -1.715998 -156.220062 0.000000 False
1307.968750 240.031250 195.031250 -2.001998 -172.389771 0.000000 False
830.888672 -51.532776 194.375809 -3.365997 136.416748 0.000000 False
578.428528 782.511047 179.223770 -2.155993 -82.387108 0.000000 False
657.419800 -318.971985 147.034927 0.000004 89.050232 0.000000 False
