mid_to_a
4
-1566.805786 -1098.012939 49.523003 -5.213991 111.295708 0.000000
-1850.620483 216.787704 83.076324 3.630013 -86.454872 0.000000 False
-2175.969238 -406.119629 84.034943 0.748014 -1.733046 0.000000 False
-2017.863892 1155.489990 125.031250 1.210019 -92.497398 0.000000 True
-1822.713867 1010.653320 61.031250 -1.363980 -103.761284 0.000000 False
-2266.968750 4.031250 75.438141 -0.109980 -4.321277 0.000000 False
-1385.203247 1351.221191 106.255264 0.880073 -123.693306 0.000000 False
-1711.942871 476.765503 161.459473 14.740060 -152.403320 0.000000 False
-1026.034180 899.164734 84.725891 0.880076 -161.027252 0.000000 False
-1447.972412 542.137756 87.031250 0.330080 179.186325 0.000000 True
-314.341736 1321.635742 38.591881 -1.429920 -157.295441 0.000000 False
-1254.031860 212.203491 137.833557 4.862101 121.840797 0.000000 False
-1135.701050 1405.129517 82.779114 0.748098 -147.205734 0.000000 False
-1302.277222 1103.257812 106.831314 4.422096 178.034149 0.000000 False
-1201.237427 -359.923218 112.889618 1.650095 105.500198 0.000000 False
-1430.412109 34.554459 112.054932 3.542064 88.610275 0.000000 False
