b_house_to_b mid_to_a
6
577.536743 -1748.178589 -80.621689 -6.820007 55.111317 0.000000
1215.039062 -1476.350830 7.983711 3.613386 -177.973785 0.000000 False
1263.909302 -292.699707 102.403778 5.730878 -106.974350 0.000000 False
1021.050476 -632.028748 22.182037 1.842375 -85.432602 0.000000 False
683.915894 -497.530884 123.711060 10.216149 -47.991375 0.000000 False
1383.968750 -649.338379 13.341309 1.245621 -135.444214 0.000000 False
338.031250 -736.031250 185.031250 12.564569 -11.833716 0.000000 False
211.572617 -772.045715 152.031250 9.176564 -7.650754 0.000000 False
1383.968750 -859.968750 0.020920 -1.699660 -178.667191 0.000000 False
64.031250 -903.968750 152.906219 7.193842 4.381219 0.000000 False
1178.789551 240.031250 129.531250 7.521161 -89.053604 0.000000 False
560.467224 782.029236 114.034943 1.784667 -60.351730 0.000000 False
837.496155 196.351471 130.047363 7.155415 -55.679775 0.000000 False
700.860779 61.823166 129.249176 6.885908 -36.449020 0.000000 False
1158.960693 758.044861 121.288696 0.052170 -89.700005 0.000000 False
648.031250 -291.573608 136.313385 2.285187 3.565307 0.000000 False
1395.972168 580.912842 130.654175 -0.101906 -121.290314 0.000000 False
1307.968750 240.031250 129.531250 -0.929657 -172.861740 0.000000 False
320.027893 104.237717 151.666290 2.117487 5.054704 0.000000 False
1395.968750 516.031250 130.386475 -0.313668 -156.050491 0.000000 False
