a_long
4
-211.971191 1114.625000 -0.193176 0.000000 63.699066 0.000000
-21.475586 1348.031982 0.386607 0.000000 2.470551 0.00000 false
282.968231 1530.128052 2.525250 0.000000 92.653870 0.00000 false
384.322937 1608.694336 3.927946 0.000000 67.107574 0.00000 false
289.134918 1682.026367 179.421982 0.000000 90.844238 0.00000 false
489.024536 1849.833496 96.846809 0.000000 80.727875 0.00000 false
462.303528 2039.549316 315.627960 0.000000 32.119568 0.00000 false
1243.635498 2597.233398 127.031250 0.000000 2.378876 0.00000 false
1702.076416 1836.008911 0.927223 0.000000 5.423813 0.00000 false
1147.022583 3039.048096 129.660507 0.000000 160.290863 0.00000 false
1387.385742 1926.708008 -7.727173 0.000000 -57.832375 0.000000 false
