mid_to_a_long boiler_to_a_short
6
729.027405 135.587234 153.700302 -2.485987 51.291447 0.000000
1480.207886 704.452637 188.948883 2.353998 -151.197357 0.000000 False
1478.139160 336.126038 192.031250 1.716015 152.262344 0.000000 False
1512.968262 820.031250 203.279694 1.804018 -132.894424 0.000000 False
1596.447266 1214.380859 239.832809 3.278018 -115.148376 0.000000 False
1665.485352 -89.971619 206.031250 0.462027 124.233200 0.000000 False
1579.133423 -89.969360 150.031250 1.144000 117.325157 0.000000 False
1377.424072 1227.967896 241.291443 2.221987 -91.774124 0.000000 False
1354.041260 -89.968567 141.031250 0.308012 93.534142 0.000000 False
1300.756226 802.923279 204.932129 1.495999 -87.991898 0.000000 False
1363.557983 -89.052795 295.831604 15.554023 96.310425 0.000000 False
1204.528809 149.554230 217.412048 12.892052 62.980244 0.000000 False
1188.031250 365.968384 137.031250 -1.451944 -9.421766 0.000000 False
1775.856689 -89.972595 294.493042 14.542086 140.257935 0.000000 False
2092.951416 -181.691467 315.489319 7.348104 151.645981 0.000000 False
2632.972656 -151.701660 210.031250 1.320149 165.784698 0.000000 False
2458.028076 -74.075256 165.828308 -2.529825 166.994125 0.000000 True
2196.070312 200.740112 212.154541 0.858185 -170.779556 0.000000 False
2449.167480 -226.031738 162.858643 -3.607781 150.242874 0.000000 True
2122.011230 333.744354 224.031250 3.366208 -137.098312 0.000000 False
2531.734375 1289.646362 169.031250 1.232220 -117.738335 0.000000 False
2221.412842 852.728333 219.543488 2.156214 -111.307793 0.000000 False
2087.920410 -356.448975 316.793671 9.526149 105.904419 0.000000 False
2469.473633 -508.352173 176.256317 -0.791844 127.720932 0.000000 False
2601.926025 -149.205200 158.994415 -4.289846 151.833313 0.000000 False
1883.107910 553.991089 229.031250 10.296125 -68.650871 0.000000 False
2076.031250 -366.577209 105.031250 -4.641856 87.504562 0.000000 False
2133.354248 296.937897 224.031250 -0.351851 -177.367325 0.000000 False
1819.031616 192.031250 229.031281 15.796141 -2.335214 0.000000 False
1819.031250 273.685730 168.961548 -2.991856 -7.681214 0.000000 True
