banana_to_b
4
2507.278809 1399.611206 166.947083 1.562000 137.681335 0.000000
2447.001953 1660.194580 191.747879 8.756010 -134.978714 0.000000 False
1603.363037 1596.028564 197.666306 2.596009 1.400058 0.000000 False
1083.575562 3132.496338 192.031250 -0.175993 -38.662132 0.000000 False
177.767532 2798.599609 226.168793 0.770007 -2.142953 0.000000 True
59.082920 2556.345947 225.031250 1.056002 7.580825 0.000000 False
533.396179 2554.640625 343.031250 6.534020 11.694813 0.000000 False
782.447571 3474.029297 188.821655 -0.241991 -46.480152 0.000000 False
1311.968750 2646.031250 198.001007 -0.549990 81.001793 0.000000 False
1441.968018 2983.968750 192.032013 -0.792014 -81.937805 0.000000 False
1300.428223 3232.350098 192.031250 0.242010 -107.164291 0.000000 False
980.092834 3030.318848 137.031250 -0.285994 9.809693 0.000000 False
1063.964844 3463.007324 216.668518 1.957995 -98.584351 0.000000 False
498.770111 3520.442383 232.564056 4.532023 -16.818123 0.000000 False
526.846680 3354.207520 231.750580 5.632015 9.625919 0.000000 False
39.075722 2627.769531 225.031250 1.166021 53.882256 0.000000 False
303.822754 2439.027344 230.031250 0.175999 74.957878 0.000000 False
537.217896 3094.031250 275.695435 5.081996 84.725990 0.000000 True
498.968506 2439.045410 230.031250 1.012016 91.149925 0.000000 False
926.970581 2140.065918 196.085037 -1.121990 116.339622 0.000000 False
190.220505 3154.905273 316.531250 26.268068 2.305390 0.000000 False
863.968689 2523.938477 202.551208 -3.893982 127.603477 0.000000 True
813.968323 2906.736816 209.448593 -2.001880 167.143311 0.000000 False
59.468750 3244.968750 224.876587 -0.065889 -72.568726 0.000000 False
59.467495 2595.231934 225.031250 0.880111 80.155228 0.000000 False
1148.031250 2795.030518 189.274475 -1.781907 -175.542969 0.000000 False
679.953003 2119.941406 200.747620 -0.945924 88.603004 0.000000 False
331.440247 1793.037476 186.537048 -1.143936 43.005081 -0.000000 False
505.233582 2119.968750 203.258240 0.308056 0.875113 0.000000 False
1037.673096 1888.137329 208.031250 0.748054 155.359085 0.000000 False
