mid_to_a_long boiler_to_a_short
6
729.027405 135.587234 153.700302 -2.485987 51.291447 0.000000
1480.207886 704.452637 188.948883 2.353998 -151.197357 0.000000 False
1478.139160 336.126038 192.031250 1.716015 152.262344 0.000000 False
1512.968262 820.031250 203.279694 1.804018 -132.894424 0.000000 False
1596.447266 1214.380859 239.832809 3.278018 -115.148376 0.000000 False
1665.485352 -89.971619 206.031250 0.462027 124.233200 0.000000 False
1579.133423 -89.969360 150.031250 1.144000 117.325157 0.000000 False
1377.424072 1227.967896 241.291443 2.221987 -91.774124 0.000000 False
1354.041260 -89.968567 141.031250 0.308012 93.534142 0.000000 False
1300.756226 802.923279 204.932129 1.495999 -87.991898 0.000000 False
1363.557983 -89.052795 295.831604 15.554023 96.310425 0.000000 False
1204.528809 149.554230 217.412048 12.892052 62.980244 0.000000 False
1864.972168 1317.261230 226.398148 1.583978 -140.870514 0.000000 False
1923.982788 1235.967896 283.031250 7.831976 -153.115936 0.000000 False
2622.356201 1171.596802 167.808578 0.043977 -172.131897 0.000000 False
1293.032715 1185.031250 245.031250 0.528005 -10.814411 0.000000 False
1761.963379 1606.978882 224.031250 -0.945998 -88.606140 0.000000 False
2497.407471 949.352783 230.688263 -0.154014 172.547226 0.000000 False
2456.783936 511.879028 280.031250 2.683993 117.914421 0.000000 False
2423.821289 -249.031433 160.437592 -2.969999 100.212593 0.000000 False
2142.970215 -183.468933 156.278427 -3.167981 85.397873 0.000000 False
1998.468140 -186.739075 320.031281 4.334039 78.607910 0.000000 False
2042.298462 173.757874 217.551636 -0.439964 74.731995 0.000000 False
1901.120117 34.650803 189.014725 -1.935995 68.143799 0.000000 False
2624.110107 1265.967896 168.960938 -0.462014 -144.843140 0.000000 False
1819.031250 192.033524 284.031250 4.906025 56.208008 0.000000 False
1819.032227 273.686371 223.961548 0.220017 48.222061 0.000000 False
1819.104492 641.413208 223.907349 -1.649986 1.514475 0.000000 True
2013.968750 721.968140 224.031250 -1.011990 3.252467 0.000000 False
2599.969482 559.968750 280.031250 10.010038 175.460541 0.000000 False
2458.027344 -196.528076 158.000519 -18.259960 64.117699 0.000000 False
2076.031250 -163.031921 106.838074 -3.343964 1.417664 0.000000 True
1829.028198 -223.828369 269.282043 1.958084 27.465733 0.000000 False
