none
279.030975 -541.809448 160.031250 0.242006 -34.072731 0.000000
1262.968750 -689.968628 142.031250 2.244006 175.961853 0.000000 False
1262.968506 -620.533447 192.031250 2.684006 -179.330383 0.000000 False
810.032959 -476.454956 164.031250 2.187988 -95.068596 0.000000 False
1262.972168 -500.764343 244.614624 29.247828 -136.130203 0.000000 True
1316.536865 -291.032166 261.032440 19.083803 -115.554787 0.000000 False
1172.899780 -281.645508 264.031250 20.095694 -91.023201 0.000000 False
1188.027344 196.753860 181.429718 -6.744340 -90.012146 0.000000 False
1126.031250 -366.968750 264.031250 1.109652 -5.201365 0.000000 False
1468.447510 -274.531921 320.031250 0.031654 -155.879410 0.000000 False
1905.969604 -268.557007 324.031250 -0.232325 -172.643143 0.000000 False
1911.962891 -361.971802 264.282043 -0.166325 178.534790 0.000000 False
2042.726318 -126.126160 360.531250 5.729676 -146.573288 0.000000 False
2599.969727 559.970520 280.031250 -2.146314 -131.877289 0.000000 False
1829.315918 -172.029358 264.031250 1.065666 -94.748421 0.000000 False
2172.527832 276.321869 286.031250 -4.214318 -117.488083 0.000000 False
2431.200928 1135.968140 175.406082 -2.850326 -110.359955 -0.000000 False
2056.139160 292.326691 224.031250 -9.934340 -104.609581 0.000000 False
2235.840088 961.192261 221.149109 -4.720340 -104.719482 0.000000 False
2458.031250 -52.122131 168.293747 -15.236364 -162.909119 0.000000 True
2632.967285 -118.939148 210.031250 -8.636354 -172.676956 0.000000 False
2076.029785 -256.606934 319.876404 1.791674 165.345062 0.000000 False
2458.423340 -211.401672 160.377747 -17.040344 176.961197 0.000000 True
1998.131470 565.770569 224.031250 -8.108319 -92.368713 0.000000 True
1843.384155 614.007446 223.917984 -6.854273 -78.148186 0.000000 False
2470.679932 -507.261475 116.210480 -12.442292 145.556717 0.000000 False
2076.957031 -363.798584 319.636017 0.229702 95.493042 0.000000 False
2175.914551 365.005890 222.539276 -8.306285 -99.938972 0.000000 False
1890.168701 586.630798 224.031250 -2.300295 -75.230309 0.000000 False
2076.371094 -526.533508 160.031250 -35.586277 91.400780 0.000000 False
2076.030762 -163.031250 161.838043 -1.420285 -72.161476 0.000000 True
2458.029297 -96.556274 163.427948 1.087666 -93.631203 -0.000000 False
