none
5
-716.845947 506.598236 34.590645 -0.616002 29.972166 0.000000
71.031662 952.207397 146.451920 11.792029 -156.953552 0.000000 False
209.175903 725.967041 100.626198 1.804004 169.540649 0.000000 False
1327.131958 421.676300 191.924850 4.357723 165.329407 0.000000 True
946.072754 348.883911 158.644318 3.080011 155.665878 0.000000 False
251.861160 1389.048340 173.452148 4.720694 -114.860664 0.000000 False
43.612343 438.030670 146.031250 1.666112 91.660011 0.000000 False
399.361786 1856.031250 290.031250 8.850302 -111.185478 0.000000 False
390.593475 2107.774902 202.902313 3.209507 -106.109871 0.000000 False
49.010654 1330.557007 163.385178 3.079952 -89.509697 0.000000 False
275.892426 1378.013306 175.255280 7.695053 -126.707489 0.000000 False
-53.549500 1419.973877 168.031235 4.016164 -45.260029 0.000000 False
255.995499 1238.063965 172.417999 7.052167 177.416061 0.000000 False
-53.971863 1332.030884 168.031219 5.490162 -4.699898 0.000000 False
513.477356 2119.968750 203.255157 2.859998 -114.715851 0.000000 False
863.967468 2329.783936 202.551147 2.635064 -134.381836 0.000000 False
926.968750 2203.968750 200.153183 2.300664 -147.011978 0.000000 False
926.339111 2069.603027 196.470444 1.844540 -158.478455 0.000000 False
709.321899 1880.029541 205.528595 15.377234 -177.127716 0.000000 False
457.269348 1833.311768 200.031219 2.086073 146.619537 0.000000 False
1037.692383 1887.540771 208.031250 2.169191 173.046555 0.000000 False
748.031250 1880.031616 202.078156 -0.329651 108.094284 0.000000 True
863.968628 2406.112305 202.551208 1.885384 -124.347328 0.000000 False
945.933411 2779.971680 196.844849 -0.587173 -111.967804 0.000000 False
813.968445 2911.952881 209.448608 0.086506 -98.932976 0.000000 True
681.220398 2642.137451 201.968430 0.597408 -90.188698 0.000000 False
533.476562 3125.994629 274.292938 3.733871 -77.760330 0.000000 False
414.692413 3264.532471 226.557098 1.316063 -71.387871 0.000000 False
188.959610 3091.057861 320.031250 9.221351 -52.589626 0.000000 False
4.297278 3244.971924 225.031250 1.245615 -48.474426 -0.000000 False
267.969025 2883.845459 226.168625 0.681407 -42.596443 0.000000 True
528.213562 2443.885742 303.031250 26.180346 -1.480069 0.000000 False
56.904667 2976.409180 225.031250 2.421515 -30.037216 0.000000 False
1.031590 2721.070557 225.031250 2.089050 -13.746471 0.000000 False
1173.999512 2820.960938 192.197693 5.367068 -151.421951 0.000000 False
1581.901978 2947.709229 194.246902 0.023029 -156.098907 0.000000 False
53.266537 2556.932617 225.031250 2.286091 2.582920 0.000000 False
1093.338745 2658.426025 260.071503 10.120258 -179.526291 0.000000 True
59.468750 2448.028320 225.031250 2.398071 16.023357 0.000000 False
362.552124 2515.770508 345.031250 21.870407 20.445707 0.000000 True
1745.528931 2726.026367 190.634644 -1.842362 179.676712 0.000000 True
498.968689 2439.031250 230.031250 1.953847 87.844994 0.000000 False
340.968170 2439.031250 230.537781 2.591848 78.063408 0.000000 False
675.031250 3593.968750 201.915100 0.083814 -114.503242 0.000000 False
1.029323 2594.076904 225.031250 0.410862 49.031525 0.000000 False
59.468750 3244.969238 224.876602 2.258859 -73.662399 0.000000 False
